Date,Close/Last,Volume,Open,High,Low
10/01/2024,$159.75,31831860,$164.48,$165.40,$158.08
09/30/2024,$164.08,21920300,$163.10,$165.08,$162.18
09/27/2024,$164.35,27876040,$167.48,$168.7286,$163.74
09/26/2024,$167.49,38044920,$167.055,$168.68,$164.05
09/25/2024,$162.02,35233260,$158.50,$162.95,$158.18
09/24/2024,$158.32,27531200,$157.46,$159.64,$154.58
09/23/2024,$156.75,21728540,$156.445,$157.19,$154.97
09/20/2024,$155.95,40248200,$156.00,$157.45,$152.47
09/19/2024,$156.74,44499980,$153.81,$159.25,$152.77
09/18/2024,$148.29,26320080,$150.90,$152.82,$148.01
09/17/2024,$150.82,29888990,$153.55,$154.045,$149.225
09/16/2024,$152.08,27677760,$151.70,$154.44,$150.912
09/13/2024,$152.31,25117240,$152.32,$153.03,$150.70
09/12/2024,$150.77,29286170,$148.43,$151.54,$147.65
09/11/2024,$149.86,50935390,$145.325,$150.16,$140.71
09/10/2024,$142.84,37217530,$139.06,$143.08,$137.25
09/09/2024,$138.15,27194510,$136.10,$138.445,$134.86
09/06/2024,$134.35,39993510,$138.70,$139.13,$132.1101
09/05/2024,$139.44,25023020,$138.20,$141.71,$137.83
09/04/2024,$140.87,42130650,$140.505,$143.37,$138.51
09/03/2024,$136.94,42172670,$146.41,$146.49,$136.10
08/30/2024,$148.56,31169070,$147.52,$148.99,$145.25
08/29/2024,$145.49,31602110,$146.59,$149.49,$144.47
08/28/2024,$146.36,34075820,$149.40,$150.43,$144.72
08/27/2024,$150.50,35102650,$150.13,$151.70,$148.44
08/26/2024,$149.99,49893260,$154.70,$158.28,$148.9101
08/23/2024,$154.98,43694640,$153.60,$156.40,$151.83
08/22/2024,$151.70,45737260,$158.87,$159.84,$151.01
08/21/2024,$157.81,42791250,$156.12,$158.65,$155.07
08/20/2024,$156.40,76851160,$156.49,$162.04,$154.51
08/19/2024,$155.28,60766850,$148.43,$155.365,$147.72
08/16/2024,$148.56,31123930,$145.70,$149.3693,$145.20
08/15/2024,$147.36,43582390,$143.00,$147.96,$141.81
08/14/2024,$140.75,35506430,$143.00,$143.25,$137.64
08/13/2024,$141.13,42218020,$138.12,$141.19,$137.52
08/12/2024,$136.77,39724340,$134.44,$137.99,$133.23
08/09/2024,$134.27,40582990,$134.69,$135.50,$132.44
08/08/2024,$136.32,49037450,$131.97,$136.48,$128.94
08/07/2024,$128.67,54676490,$133.75,$136.24,$128.37
08/06/2024,$130.18,64455610,$135.15,$136.44,$129.10
08/05/2024,$134.82,76089360,$122.16,$139.14,$121.825
08/02/2024,$132.50,78562000,$133.50,$137.10,$131.33
08/01/2024,$132.54,94731930,$145.00,$147.29,$130.24
07/31/2024,$144.48,114306800,$150.73,$153.603,$140.03
07/30/2024,$138.44,68801710,$139.88,$141.70,$134.05
07/29/2024,$139.75,47447190,$141.19,$144.585,$138.75
07/26/2024,$139.99,49435830,$140.32,$141.29,$138.27
07/25/2024,$138.32,60578530,$144.07,$144.75,$136.81
07/24/2024,$144.63,49203120,$152.72,$153.68,$144.53
07/23/2024,$154.00,31950580,$154.95,$157.05,$153.80
07/22/2024,$155.87,43912460,$154.23,$156.70,$152.545
07/19/2024,$151.58,47513060,$154.86,$155.81,$150.62
07/18/2024,$155.77,69420340,$163.41,$163.41,$153.20
07/17/2024,$159.43,76954200,$169.80,$169.80,$159.37
07/16/2024,$177.55,40633060,$179.69,$179.75,$174.53
07/15/2024,$179.83,42202730,$184.45,$185.50,$178.54
07/12/2024,$181.61,50827370,$182.015,$186.99,$179.69
07/11/2024,$181.94,59231410,$184.07,$187.11,$177.25
07/10/2024,$183.96,90246970,$179.99,$187.28,$177.80
07/09/2024,$177.10,43471170,$177.97,$180.41,$174.70
07/08/2024,$178.69,60223420,$174.90,$178.95,$173.22
07/05/2024,$171.90,61857050,$165.97,$174.0396,$165.68
07/03/2024,$163.90,26980910,$164.20,$165.26,$162.51
07/02/2024,$164.31,57838610,$157.04,$164.58,$156.70
07/01/2024,$157.69,50436690,$161.25,$161.5068,$153.64
06/28/2024,$162.21,56204620,$160.23,$166.45,$159.41
06/27/2024,$159.47,34018220,$157.18,$160.61,$156.81
06/26/2024,$157.54,36973440,$160.60,$160.74,$156.00
06/25/2024,$160.25,40975280,$160.73,$161.00,$156.45
06/24/2024,$160.25,45954050,$159.75,$163.40,$158.19
06/21/2024,$161.23,61334700,$161.75,$163.20,$157.89
06/20/2024,$161.78,93245730,$155.825,$166.82,$155.50
06/18/2024,$154.63,51852030,$156.99,$157.24,$153.34
06/17/2024,$158.40,44507740,$158.00,$159.23,$154.135
06/14/2024,$159.63,34054020,$158.50,$161.3399,$157.61
06/13/2024,$159.90,44442510,$160.40,$162.66,$157.31
06/12/2024,$160.24,48325810,$160.32,$162.24,$158.62
06/11/2024,$158.96,40497090,$160.50,$161.54,$156.92
06/10/2024,$160.34,67575630,$162.48,$165.55,$159.61
06/07/2024,$167.87,44796000,$166.59,$169.45,$165.86
06/06/2024,$166.78,47153680,$165.46,$169.51,$163.86
06/05/2024,$166.17,60507490,$162.07,$167.12,$161.38
06/04/2024,$159.99,48157210,$162.84,$164.83,$158.8729
06/03/2024,$163.55,59157590,$170.82,$171.08,$160.9101
05/31/2024,$166.90,64331950,$166.65,$169.50,$160.07
05/30/2024,$166.75,46479930,$167.90,$168.7469,$163.80
05/29/2024,$165.14,56537500,$167.46,$168.48,$162.91
05/28/2024,$171.61,66495410,$169.42,$174.55,$164.96
05/24/2024,$166.36,54868650,$161.412,$167.66,$160.25
05/23/2024,$160.43,91888840,$170.18,$173.14,$158.27
05/22/2024,$165.52,47426720,$167.41,$169.8148,$163.86
05/21/2024,$164.66,30005480,$164.00,$165.83,$163.10
05/20/2024,$166.33,45618040,$165.55,$168.49,$164.47
05/17/2024,$164.47,65944360,$168.43,$169.72,$162.32
05/16/2024,$162.62,76726730,$160.92,$168.06,$159.90
05/15/2024,$159.67,43195900,$155.588,$159.69,$154.70
05/14/2024,$153.16,31938280,$150.43,$153.4879,$148.78
05/13/2024,$150.56,27859180,$151.28,$153.33,$150.40
05/10/2024,$151.92,37652770,$154.287,$156.37,$151.31
05/09/2024,$152.39,33017960,$153.13,$154.092,$150.61
05/08/2024,$153.62,28727960,$153.40,$155.33,$152.52
05/07/2024,$154.43,37374910,$156.32,$157.70,$153.66
05/06/2024,$155.78,44624550,$153.10,$156.65,$151.26
05/03/2024,$150.60,49361080,$148.75,$150.79,$147.2384
05/02/2024,$146.16,50034730,$145.51,$147.62,$141.155
05/01/2024,$144.27,89413170,$148.11,$151.37,$142.14
04/30/2024,$158.38,60742830,$160.63,$162.29,$158.35
04/29/2024,$160.20,43478220,$159.08,$160.77,$156.26
04/26/2024,$157.40,42510710,$154.24,$158.63,$153.4252
04/25/2024,$153.76,41471420,$149.15,$155.14,$146.75
04/24/2024,$151.74,43412550,$156.56,$157.6598,$150.63
04/23/2024,$152.27,46051910,$151.65,$153.495,$150.35
04/22/2024,$148.64,49397030,$148.15,$149.89,$145.63
04/19/2024,$146.64,71618200,$151.59,$154.25,$145.29
04/18/2024,$155.08,52669820,$155.51,$156.96,$152.32
04/17/2024,$154.02,75908970,$163.97,$164.45,$153.88
04/16/2024,$163.46,55302100,$162.28,$164.8799,$161.67
04/15/2024,$160.32,61461150,$164.43,$164.44,$158.76
04/12/2024,$163.28,63519640,$164.53,$165.70,$161.825
04/11/2024,$170.50,48994530,$167.545,$170.9499,$166.5492
04/10/2024,$167.14,59599960,$166.71,$169.7752,$164.00
04/09/2024,$170.78,42927990,$170.21,$171.60,$167.29
04/08/2024,$169.90,43997550,$168.20,$171.6599,$166.82
04/05/2024,$170.42,66080260,$168.10,$172.69,$165.58
04/04/2024,$165.83,88279960,$182.92,$183.02,$165.65
04/03/2024,$180.77,49835060,$177.54,$182.05,$176.70
04/02/2024,$178.70,61598820,$179.47,$180.10,$174.83
04/01/2024,$183.34,74299910,$180.10,$187.24,$179.90
03/28/2024,$180.49,57628610,$179.47,$183.40,$178.30
03/27/2024,$179.59,55685650,$179.96,$181.23,$175.40
03/26/2024,$177.87,65322450,$179.54,$182.5983,$176.33
03/25/2024,$178.63,71935310,$172.90,$182.80,$172.00
03/22/2024,$179.65,57899070,$177.21,$180.76,$175.05
03/21/2024,$178.68,75265600,$185.97,$187.69,$177.66
